cleaned_text,deceptive
stay fairmont chicago night frequent business traveler familiar travel ritual check late pm flight cancellation home airport atlanta take shuttle airport good option lieu price taxis time stay hotel arrival immediately notice entrance appear welcoming warm check problem desk person ask prefer king double reconfirm reservation preference king bed fantastic suit great linen incredible feather pillow name encompass pillow factory check tag plan buy eat dinner hotel restaurant aria mention like consider separate hotel yes stand food asian fusion truly wonderful gourmand life long foodie appreciate great food taste hotel service good drawback breakfast buffet restaurant need stick dinner theme solely miss mark relatively simply thing like scrambled egg buffet taste bit metallic get special order immediately pass buffet highly recommend hotel atmosphere great view room fabulous dinner pass breakfast buffet,0
ok trip chicago litlle worry hotel location finally decide conrad wath good experience book king deluxe room floor view amazing coplaint room nice bath appliance good size good plasma tv free internet ask day breaksfast amazing food overall price aroufn great surprise locating good block quiet hotel,0
arrive friday room ready mind check get room priceline night stay night upgrade free suite think blow away forget thank check room fantastic wet bar fridge bathroom large nice sized closet hanger know previous review touch mini bar bed pillow comfortable room clean employee go way friendly helpful stay floor east tower quiet room yes hear people hallway rude yell child adult know complain parking chicago hotel see charge privledge use restaurant health club try eat corner bakery crowded breakfast nearby houlihan buffet person grocery store hotel great far away know bad review hotel yes big hotel want busy lobby stay plus room hotel love hotel recommend problem busy stay heartbeat,0
wife come spend weekend downtown chicago shopping find conrad hotel locate close downtown size feel lose convention world feeling stay large hotel past suite view michigan avenue bit lake end staff professional pleasant friendly make feel comfortable internet free n room make review,0
get sunday night stay hard complain truly great hotel pay double impression walk slide door hyatt regency chicago wow lobby beautiful upscale mall type look open area restaurant plenty couch seat etc people watch lake water fountain escalator concierge directory check area hotel let check pm pm check time suggest ahead like know come woman desk friendly request high level floor happy look tell room floor veiw river high view think pretty nice information not stick room view wall room big double room bed beautiful great pillow blanket headboard etc ipod alarm clock nice century touch room great plug ipod listen music ready night relax long day tour chicago view nice bathroom spotless great toiletry great feature concierge area computer give access print boarding pass airport simply look screen click airline icon follow instruction boarding pass minute come handy get ohare able skip long line frustrated passenger hotel day far well hotel experience travel alot business hotel definitely great choice family couple definitely stay m pass chicago,0
superb hotel room huge include luxurious bathroom clean service rate breakfast excellent complimentary hilton honor member hotel good location connect mall imagine great asset chicago winter time chicago stay sure,0
stay conrad night friend reunion room clean new feeling nice city view free bottled water room arrival check breeze room ready hour early staff friendly helpful excellent breakfast,0
conrad hotel beautiful hotel room perfect beautiful way impressed hard high standard clean aesthetically pleasing date gorgeous definitely stay love location superb attach nordstrom northbridge mall wait,0
boyfriend decide stay conrad chicago anniversary second walk immediately win look feel room white luxurous bed king bed plasma surround sound speaker boyfriend impressed remind come chicago hotel room large bathroom tub separate stand shower granite countertop robe slipper view great floor high building large room mean city hotel room prefect size time actually room get great rate think going rate usually close mid stay hotel downtown area impress definitely stay trip city,0
get good deal weekend pacage hotel nice stay dozen business trip chicago room suite staff friendly professional restaurant world extra like great health club turn service complimentary morning beverage deliver room room clean need attend feel intrude definately stay,0
stay fairmont night find experience excellent give large room great view city breakfast extremely good location central wish pool large feel luxurious great early morning swim evening spend time hotel bar friend excellent highly recommend base explore chicago,0
go chicago exhibit art institute select fairmont close lobby renovate experience hotel uniformly positive room nicely sized newly remodeled immaculate glitch involve get room coffee replenish maid bedtime night coffee call desk immediately deliver fresh supply restaurant little underwhelming place block probably eat having stay close dozen different chicago hotel hotel return return,0
actually book reservation hotel phone get great rate low usual price lovely hotel beautifully appoint walk distance place want highly recommend fairmont,0
name price priceline buck hotel room great clean clean new fresh crisp sheet comfortable bed flat screen tv clean carpet nice bath etc short distance food sightseeing highly recommend property prepared pay night park hey hyatt charge bottle water normally buck total nightly stay chicago place drink bottled water happy travel,0
check fast room perfect problem standard big city business hotel amenity imaginable get good deal night stay money exorbitant parking rate absurd access fee wireless internet bored routine hotel fare walk block gourmet pantry michigan refreshing change,0
arrive greet friendly doorman zip floor lobby open lobby area friendly reception staff room floor nice order clean king size bed nice night restful sleep bathroom large separate glass shower stall room furnish need include internet hook access walk fl westfield north bridge shopping mall enjoy nordstrom store course step michigan ave central location hotel great walk place cta subway stop grand ave red line easy block walk stay trip chicago,0
simply nice place stay great deal room impress quality hotel staff helpful able let check help print boarding pass negative frustrating nowadays free internet hotel pay internet negative loud phone hear neighbor phone shower,0
stay conrad evening amazing room like stay long newly renovate floor room gorgeous super clean flat screen bose sound system ihome ipod wireless free bring free bottle water turn helpful friendly wait,0
spend week hotel pleased experience describe previous review room comfortable huge televison bathroom particularly outstanding service excellent overall especially like bottle water bedside turn service door bellman woman particularly pleasant helpful concierge friendly knowledgeable completely satisfactory overpriced drink bar eat restaurant health club fine equipment maintain treadmill elipitical stepper wait machine different story dead chicago winter minor quibble like coffee thing morning room coffee maker restaurant offer free coffee comfortable attractive hotel wonderful location chicago expensive city feel get reasonable value money,0
book room hyatt priceline able rate night wrong room nice spacious clean contain amentie traveler need fall love hyatt chain customer service stay hotel different city staff extremely friendly hotel self check machine customer service person check sure go smoothly see room high level offer change well view highly recommend hotel,0
hotel perfect location downtown chicago shopping thing pool extremely small indoor look large website,0
omni fabulous location michigan avenue block type store include sak nordstrom filene basement macys la perla apple bloomingdate room fabulous comfortable nice big flat screen tv nice sized bathroom charge wi fi find click yes join guest program sign screen right email actually complete registration get hotel night priceline feel terrific deal,0
stay junior suite beautiful spacious large flat screen tv see hotel great excuse catch movie breakfast buffet great serve hotel huge atrium nice service notch stay low floor east tower great wait elevator shed aquarium complete waste time money field musium amazing chicago remains tie london favourite city,0
short wife daughter stay hotel night vacation year great hotel location locate center magnificent mile michigan ave near easily accessible want hotel hotel clean room maid service excellent include daily cleaning turndown service think miss night service staff member encounter super friendly kind lobby door greet smile night milk cooky wait room chocolate pillow push elevator button near shortage people ask thing conplaint congierge tough shouuld long hour breakfast restaurant good attend appoint carry wife plate table buffet pool nice addition hit kid nice swim long day walking pool change area spotless room clean sunny spacious probably sq ft tv couch desk chair perfect shape window open fresh air pillow pretty comfortable aspect consider think unbeatable value hesitate stay recommend friend truly negative hotel wonderful stay miss omni hit right formula guest feel like welcome person oppose nuisance number airline corner market,0
husband fairmont chicago recently conference stay spacious suite amenity appear recently update excellent shape bed comfortable view great love product bathroom pristine tub night room quiet relaxing eat restaurant downstairs aria pricey excellent staff consistently attentive responsive evident train love stay,0
stay fairmont professional conference conference meeting room small term traveler comfort hotel exceptional think single thing room perfect accommodation luxurious hotel conveniently situate walking distance chicago attraction,0
great hotel wonderful location stay hotel weekend night come home love recommend highly evidently popular busy staff helpful room lovely spacious clean bathroom clean bright spacious definitely recommend hotel close magnificant mile,0
return night conrad chicago everthe hotel excellent wonderful room service staff class great view room hotel location great right centre magnificent mile wonderful stay amazing city perfect stay conrad,0
nestle beat path block river fairmont chicago offer excellent location operate home base trip chicago staff friendly helpful arrange sightseeing event enjoy city attraction withiin easy walking distance art institute millenium park fun visit architectural tour river depart dock close fairmont lot restaurant nearby room excellent club room worth extra expense definitely stay,0
stay omni band town room amazing walk hotel gorgeous complaint prompt room service friendly desk shop beautiful fountin great hotel great city,0
great location quality place stay lovely large clean room queen size bed great staff helpful great restaurant music bar coleman desk great guy meet impression sell hotel personality hotel deliver anniversary cake room compliment hotel show care guest thank great place stay,0
pay night priceline excellent june room fantastic view hancock building river room large clean couch easy chair desk chair bed new non bedspread style bed comfortable bathroom large pleased room hyatt way eat lobby restaurant attractively decorate bustle activity get cobb salad know food general good cobb complaint fee park car night daily fee internet place offer free internet day wish hyatt hop board concept hat leave,0
book room priceline get good deal night stay night trip not use hotel facility hotel centrally locate chicago river shop north michigan avenue mile navy pier room clean comfortable floor good view city lake michigan weather bad layout room little peculiar bed face away window complaint hotel unlike review disturb noise guest pro con pro helpful friendly staff clean comfortable spacious room large airy public area starbuck gift shop lobby con large hotel long walk elevator desk lobby area,0
husband decide trip chicago minute quickly choose conrad know location pleasantly surprised find right michigan ave connect nordstrom right heart downtown great shopping hotel fabulous staff extremely helpful give suggestion show restaurant recommend go joe right street hotel rave reservation room wonderful bed pillow comfortable warm invite atmosphere husband love workout room highly recommend conrad,0
staff friendly room keep like typical hyatt location hotel huge building room good location close michigan ave subway parking day ouch bid priceline,0
stay fairmont attend conference pleased hotel doorman offer umbrella head walk sure start rain soon soak return doorman ask walk etc reflective staff encounter desk promptly check definitely register reward program arrive complimentary gym access excellent plus save internet access fee waive member bathroom separate dressing area large convenient coffee maker starbuck adjacent building close weekend area corporate office close day stay perfect consider conference rate night,0
stay business love get inc tax priceline incredible deal hotel priceline expect pay night maybe location level service heart downtown chicago walkable location lobby impressive room nice complaint check check bar look like people enjoy people time want stay come husband fun weekend city,0
night stay omni thoroughly recommend staff bend backwards assist matter minute great location magnificent mile lot adult daughter find fault extra charge taxis etc room service bar restaurant cheap day definitely recommend especially family,0
price marriott spend night tax enjoyable brief stay note hotel recently renovate room furnish attractive sleek scandanavian type design staff polite attentive match redesign hip kind feel parking pricey adjacent lot self park note lack water pressue shower disappointing good location return esp pricepoint,0
concierge helpful hesitation good recommendation restaurant attraction turn wonderful give business card restaurant reservation obtain preferential immediate seating love health club hotel join president club cost dollar day use facility room large update view look direction coffee maker room exceptional location great get parking overprice take cart underground millennium garage hour block walk hotel,0
get great deal hotel find travelzoo stay night impressed sevice fantastic moment step property hotel smell wonderful immaculate room enormous perfect great view city lake bed extremely comfortable hear noise outside room bathroom nice sized consider small room hotel ready comfortably location perfect michigan ave step away millenium park definetly stay especially great deal,0
get hotel chance decide spur moment spend nite chicago go priceline lucky room hotel normal rate room superb floor nice king bed hotel block michigan ave location convenient parking expensive nite park right door selfpark decide breakfast hotel restaurant save walk order buckwheat pan cake egg benedict absolutely delicious stun expect type experience hotel restaurant especially breakfast glad pick breakfast buffet special menu well highly recommend beautiful cozy hotel chicago visit,0
return trip chicago stay omni read review trip advisor pick omni base wonderful review right location staff room amenity etc wonderful huge thank ta member suggest sign preferred member program leave receive complimentary beverage morning newspaper perk love wake fresh orange juice chicago tribune newspaper room perfect corner suite side room window great view room huge gorgeous king bed great live area plasma tv bathroom amenity wonderful love soak tub mineral salt provide turn service great come room relax music playing bed ready eat restaurant twice breakfast buffet delicious blueberry muffin good fresh prepare perfectly staff omni accomodating smile ask stay thank concierge melissa curtis helpful great dining suggestion map want gym stay great machine notch treadmill lcd tv attach gym plasma cold lemon water workout stickler cleanliness sparkle morning fantastic stay omni stay want mention hear construction quiet sleep wonderfully big comfy bed thank trip advisor great trip suggestion,0
stay hotel time year business love staff great room spacious clean location perfect shopping dining michigan ave plus sign omni select membership free free wireless internet access,0
usually stay sofitel think try conrad change think rate hotel sofitel class think service well conrad arrive hotel restaurant close soon table leave normally service go hill waiter eric good keep order dinner port meal chop house good bar ok crown reserve cask drink ouch room service quick room clean maid replace include ashtray visit fault find temperature floor hot window open time heat turn completely bad wife smoke temp lobby bar restaurant fine enjoy hotel sept thing like cheap fantastic breakfast west egg block away,0
stay omni christmas new year away day find web deal get penthouse suite cheap year check online day christmas deal include parking great price huge suite overlook downtown chicago good location walk yr old love swim night chocolate cooky pillow wait,0
stay night bridgestone firestone convention complaint room great beautiful view staff accommodating drink appetizer main bar fantastic great location yes huge hotel convention stop great place,0
leave conrad chicago good thing hilton point stay pay night upgrade junior suite room reccomend people ask odd numbered room view look north michigan ave room modern large hd flat panel tv bose speaker sound system big window actually open bed lined nice towel ok room clean bath room seperate shower tub marble robe slipper etc work room good different machine free weight clean towel workout room eat hotel comment food price starbuck street michigan espresso bar attach nordstrom ground floor hotel nice little mall right hotel location hotel well walk distance kind shopping din experience possibly want mile hotel boutique feel hilton chain,0
friend stay night love hotel awesome water feature hotel great large bar like hyatt comfortable bed lot pillow large bathroom,0
great property excellent location wonderful staff accommodating polite room floor like suite live area bedroom living room spacious plasma tv desk couch bed comfortable toiletry good quality closed place umbrella come handy rain time chicago internet connection great place return sure,0
great hotel heart chicago business pleasure room recently upgrade modern large flat screen tv marble bath room suite great desk kitchenette comfortable bed free wireless internet ask location easy walk magnificient mile lot great restaurant staff friendly helpful short cab ride loop,0
recently stay fairmont chicago find fantastic hotel staff courteous helpful desk staff check wait staff aria restaurant maid clean room room recently update large flat screen tv beautiful linen exceptional toiletry room room view monroe st harbor truly rate hotel location south river east michigan ave normally stay north river little way possible downtown chicago location significantly lower street noise hotel excellent access millennium park aon center connect concourse block shop north michigan ave eat dinner aria fantastic room service breakfast good overall stay minute business loop leisure plan millennium grant park,0
stay omni chicago night early july july reason choose hotel simply great deal get travelzoo get pretty good rate include valet parking voucher sign loyalty program worth concern treat like second class guest price pay totally wrong treat extremely arrival get email ask need ask fridge store baby milk arrange charge arrive late thursday night room ready arrival fridge request give corner suite floor nice room comfy bed husband wowwwww bed ready bedroom sofa bed use sofa bed get high speed internet loyalty program staff friendly helpful desk valet parking bell boy room service concierge voucher room service breakfast morning day great food great quick get complimentary beverage loyalty program order oj hot chocolate good order morning disappointed hot chocolate taste pretty horrible taste like left coffee mix water bit chocolate order belgian waffle breakfast suppose come whip cream strawberry get plain waffle restaurant wait service report issue desk check desk staff take care charge meal thing noisy night high floor hear siren go night hotel control bother baby sleep overall enjoy stay definitely consider omni trip chicago,0
wife travel chicago treat like royalty hotel staff brother wife stay period desk staff concierge star buck server restaurant lounge server wonderful room spacious flat screen tv great bath room real plus huge desire great view floor michigan avenue overall great stay highly recommend,0
weekend trip friend book couple room ask advanced reservation connect way room right request time chicago bit cold search hotel choice perfect amazing time visit chicago largely hotel customer service amazing extremely nice helpful room order late night room service rave feel order star lunch fresh having order food pm delicious friend suggest staff food come quickly room housekeeping accidentally discard cd replace cd player ipod dock concierge exact cd purchase ready check neighboring record store rate include complimentary breakfast fantastic freshly kitchen add bonus hotel attach mall need leave building pair shoe coffee type trinket pleased hotel stay hesitation,0
wife stay hotel end come weekend function extend trip city get deal hotel travelzoo night stay night plus get buffet breakfast room wonderful extremely large king size bed expansive sit area small hotel little room bed extremely comfortable lot pillow wear damage room sink tap drip bit poor tap upgrade river view night choose enjoy room floor look south buffet breakfast great lot choose fresh order egg non stop coffee juice server eager great breakfast include night stay bit dear pay person nice sit relax good breakfast coffee newspaper figure catch morning meal concierge desk helpful suggest place eat informative ready provide map direction multiple suggestion reservation card include admit pay cover charge jazz club location great block el transportation easy walking distance park right river chicago hesitate stay swimming pool nice miss,0
recently complete second stay fairmont chicago check process quick painless desk staff disintereste procedure fine travel business leisure trip appreciate warm greeting hotel host convention time stay see signage attendee lobby notice probably separation conference area guest room speedy elevator stay parkview suite large room great view millenium park anteroom appoint sofa coffee table desk mini bar sink coffee maker dining area bedroom appear standard fairmont room maybe slightly large bathroom appear similar standard fairmont room possibly slightly large upscale modern decor pleasing overtly luxurious small touch shoe shine station extra collar tab pepper book evening activity concierge perfectly handle hotel restaurant aria find reservation oddly new remember hotel call reservation problem seat dinner food service lovely minor complaint pillow well sure remember preference non bed visit seriously thing barely feel like pillow suffer congestion well neck support valet parking attendant overly eager car charge mention desk experience improve good feature stay give brief review comment section fairmont president club membership free website receive phone director room day ask discuss experience stay leave comment essentially thank hotel staff great stay receive warm friendly phone director room ask improve stay kudo fairmont take customer seriously win loyalty,0
husband stay new year eve weekend excellent hotel excellent location hotel tastefully decorate warmly welcoming room good electronic see love soak tub spacious shower stall hotel restaurant everytime walk avoid eat joe street excellent seafood shop til drop go outside nordstrom story mall attach lot good food run place love chicago love conrad,0
vacation fairmont chicago night july room bathroom view staff wonderful wish hotel block north mi ave tired extra couple block like mile,0
second time month stay great room nice clean staff terrific attentive concern concierge desk,0
wife stay middle february take el subway hotel convenient lobby nice room clean comfortable stay hotel room bed comfortable sleep hotel locate great area close walk distance interesting site chicago definetly recommend hotel visit great city,0
stay high end place chicago favorite location superb staff particularly gracious welcoming cloy cornell desk unfailingly helpful concierge love extra room suite provide join frequent guest program high speed internet gratis breakfast beverage deliver newspaper morning time choosing bed excellent quality offer truly amazing blackout curtain bad stay hotel,0
stay fairmont night sofa art fair navy pier impressed bellman call meet taxi pronounce correctly unusual smile welcome lobby look clean friendly ultramodern tired worn room clean comfortably furnish large expect clean modern bath lovely view navy pier lake eat restaurant look attractive problem ask non feather pillow reserve room check call housekeeping wait hour go bed day check desk person extremely apologetic time return feather replace foam non allergenic material hotel convenient millenium park michigan ave stay assume good rate,0
book priceline insanely low price night bf amazed get person check friendly helpful suggest local nightspot room gorgeous nice upscale downtown feel super comfy bed fabulous view floor inlclude sliver lake michigan sliver taste chicago crowd friendly office worker builide door wave time seriously pretty anonymous experience rest stay fine hotel consist mainly tower like huge sprawl city inside stay hotel room entire time like explore possible location fantastic easy walk distance michigan avenue rest downtown walk block night feel like need cab highly recommend urban cruise river entrance right see amazing architecture boat get cruise lake michigan bit park car need expensive park downtown ditch rental car will need walk ton stuff grab cab love chicago totally recommend hotel,0
moment step entrance luxury service begin enjoy minute fairmont king room spacious decor chic coffee maker cool bathroom huge like separate shower tub separate door toilet dessert cheese spread eno yummy fairmont w hotel favorite chain hotel stay,0
review read bit mixed think excellent stay splendido villa compare claim space expect notch season prove small notch lovely clean bright room superb view quiet comfy bed etc excellent service round nice staff money quality stack fault way give half cost season pretty close term overall experience chicago great location,0
husband wonderful stay omni chicago hotel contact customer service representative prior stay request quiet suite arrive greet confirm get exactly request suite partial view lake able check early service hotel incredible feel welcome take care respond question request suite quiet east hotel near michigan avenue housekeeping prompt thorough ask well hotel definitely stay future trip chicago recommend hotel travel,0
minute son decide quick trip chicago cub check priceline decide book omni great price airfare hotel arrive hotel noon room call ahead request early desk treat like good customer friendly accomodating room wonderful modern convience expect upscale hotel room spotless bed comfortable sign bed bug mention previous review maybe bed bug luggage transfer go hotel restaurant lunch service great food try restaurant omni walking distance service cleanliness location omni incredible definitely,0
stay hyatt night business trip room oddly shape stunning view river nbc building room bathroom spotless room air purifier run silently hotel staff individual knowledgeable hotel surround area hesitate stay plan return wife weekend,0
travel chicago week daughter christmas shopping book conrad base review tripadvisor live expectation great big room king size bed comfortable breakfast great load choice plenty plate great location connect shopping mall useful day snow great hotel morning chicago great city friendly people,0
sheraton wonderful hotel mom fly tired decide quick nap not want bed absolutely die want home service great probably big big hotel ve stay nice restaurant inside excellent food,0
stay sheraton chicago hotel tower kid city beat location walk distance navy pier michigan ave hotel couple block fabulous fox obel high end grocery store prepared item available great cafe serve stellar breakfast hotel staff professional courteous room adequate comfy bed kid enjoy pool window overlook chicago river,0
get night knickerbocker go chicago minute christmas shopping hotel great location north end michigan ave half block away staff nice professional come contact helpful grant old hotel room big closet book standard room arrive upgrade deluxe room good size room nice furnishing comfortable bed bathroom somewhat small housekeeping great job clean room day eat restaurant nix see people get order deliver bar overheard comment say food good drink service martini bar slow martini run good drink shy away liquor valet parking day privilige overall great stay definately stay hotel future,0
stay january enjoy wait chicago great town visit homewood suite place stay period stay enjoy day weather high hotel fantastic need write heart city seperate room handy teenage son kitchen laundry floor seveal foodmarket walking distance walking distance will not need car valet parking will not want not word check will not disappoint oh mention free breakfast dinner job brainer book s beach walking distance,0
location hotel excellent subway bus stop free trolley bus navy pier hotel room spacious kind big solo traveler view room excellent great view sleep night bathroom spacious room big wardrobe kitchen microwave oven cook utensil cooking utensil bit dirty probably microwave oven useful heat food eat night easily walk magnificent mile cut shopping mall road check pizzeria uno near hotel serve delicious deep dish pizza cheap food check foodcourt shopping mall hotel serve breakfast dinner mon thur find food fantastic pretty decent strongly recommend hotel go chicago,0
wonderful hotel amenity helpful breakfast buffet wonderful bed like home definitely stay nice touch water bottle leave car enjoy way home little touch like hotel good,0
swissotel clean hotel stay room bathroom large downtown chicago pool hot tub nice definately recommend hotel hear noise room guest city great location walk distance millenium park loop michigan ave,0
enjoy day weekend swissotel chicago friend book get great rate cheap fleabag motel eye special view great location prime staff helpful room large double bed complaint room sort storage mechanical room employee think sneak talk phone sound come right vent bathroom hear plain day fortunately sound bathroom like keep night little weird overall great stay definitely stay,0
hi stay night recently check check staff member go way sure ok help direction restaurant transport trouble dinner monday thursday wonderful surprise breakfast adequet stay floor sleep soundly hotel close tourist business shop min,0
stay business night like attractive classy comfortable hotel get element sexy sharp public space nice open area bar lobby nice sit area room lovely handsome fixture furniture terrific desk work space comfortable bed bathroom amenity fixture sleek attractive good hotel breathtake view city water river lake work area good choice town prefer nearby hyatt monaco,0
business trip homewood great location magnificent mile include great breakfast heavy hor dinner beer pre pay rate doubt good value chicago long long time,0
love hotel fabulous old building class modern amenity great location close lakeshore city chicago walkable city superb base staff lovely friendly efficient room wonderful comfortable exceptionally clean great chair great coffee lovely bathroom huge absolutely fantastic shower extremely quiet good bed mean sleep week important yummy martini martini bar definitley,0
great hotel view fabulous service friendly location superb book room upper floor access lounge breakfast snack available picture perfect view chicago river negative ceiling hall room low feel little cramped book room night memorial day weekend steal highly recommend hotel return,0
niece stay long weekend wonderful time arrive early let room nice store luggage register later room clean bathroom woman need extra towel bring right away get sure deliver room quiet construction go hear bed comfy quilt good location michigan ave wonderful stay return,0
time chicago stay different hotel good option lobby warm receptionist room hotel good walk distance magnificent mile chance lose hotel like travel style good option,0
visit chicago wait hotel great location member staff contact exceptionally helpful particular mention door staff amazingly helpful room clean quiet spacious hotel like,0
good service staff incredible lift finger room huge hotel room view phenomenal location great great weekend stop drink palm restaurant unfortunately close bad lobby lounge open later drink cost twice bar palm,0
think swissotel great hotel room spacious clean especially downtown chicago standard importantly room quiet hear people hallway try sleep downside bed special sure like hotel chicago hotel cater wealthy business client ridiculous minibar parking price aware prior arrival big deal ie find different place park car bring snack room nice hotel swissotel microfridge room guest use staff helpful bellman instantly get cab request desk efficient helpful overall good rate stay swissotel time chicago,0
stay sheraton navy pier weekend november pleased accommodation service upgrade club level room stay adjoining view room spectacular tell picture attach leave plate cooky treat kid room check feel special hotel central navy pier michigan ave walk trolleye cabbe area eat breakfast buffet morning think pretty good egg little runny happily different batch omelet station year old eat free year old instead adult room clean concierge reception staff friendly helpful definitely visit sheraton chicago time,0
stay swissotel special birthday weekend wife aug call ahead ask nice room order flower wife jaymes ballard concierge arrange flower early check great room room floor view face city room large look like new great bed large bathroom separate shower great ammenitie beautiful bouquet flower arrive arrival hotel min close far great restaurant patio outside cigar nice pool hot tub floor recommend hotel thank jayme make trip special,0
stay hotel week family hotel huge clean comfy bed food great staff couldn t nicer stay thanksgive fabulous second time chicago want hotel walkin distance state street michicgan s taxis right outside hotel concierge ring mini bus travel big s cinema min away opposite hotel perfect hotel great away,0
stay swissotel anniversary get corner room lake city view room clean spacious staff extremely friendly helpful ask late checkout tell problem bring car park millinum parking block away cost compare swissotel,0
stay week conference service excellent addition excellent service location great quick access michigan ave bar shula restaurant excellent rib eye steak,0
sheraton fantastic hotel wife stay floor overlook chicago river lake michigan view great get corner room couch hotel short walk navy pier magnificant mile shopping area food hotel great service check maid service class great hotel great town highly recommend,0
stay night june stay business chicago great location business shopping sightseeing michigan avenue magnificent mile loop chicago river room spacious clean gym wonderful view situate hotel bar lobby busy good atmosphere fault hotel prefer westin previous address chicago,0
chicago september convention company book hotel hotel centrally locate michican ave block away perfect location suite huge comfy bed beautiful kitchenette breakfast good bountiful muffin toast mean imagine waffle bacon sausage hash brown toast danish omelet burrito freshly artifical good clean free dinner buffet excellent mexican night chinese night american fare include wine beer worth expensive price night classy clean hotel love chicago come,0
stay hotel night august wait check desk open little annoying receptionist work room great view navy pier good size bed comfortable room spotlessly clean location hotel good walk navy pier michigan ave breakfast buffet great little pricey bar relax nightcap certainly recommend hotel stay,0
enjoy brief stay millennium knickerbocker desk personnel bellman housekeeping staff bartender meet helpful welcoming floor room clean beautiful view look north drake hotel apartment street nice room coffee service appreciate lot room bathroom toiletry room beautiful old hotel character spacious cookie cutter room day,0
great hotel cta day chicago great line stop nearly hotel need taxi travel midway city ohare bus alot freeze cold hotel great clean room realy good bathroom staff friendly find timerland shoe right get place tell s service have look gym room swimming pool area use know include room price realy nice view make run easyer,0
stay night knickerbocker well stay hotel recently renovate room staff friendly helpful dave cora martini bar julie desk help upgrade hotel need stay close fun chicago offer pick city knickerbocker john judy,0
sister go chicago weekend decide stay hotel friend work homewood suite cleveland get discount valet friendly service pay parking hotel check floor restaurant beneath hotel street level find hotel tricky expect groove pull turn pull right street lady desk friendly informative room clean fact extente stay hotel nice come bring home leftover restaurant store reheat food complimentary breakfast great real food egg bacon french toast cereal bagel juice milk yogurt hotel walk distance trolley go navy pier pass michigan avenue free wifi overall definately stay recommend,0
absolutely love knickerbocker expect hotel cookie cutter comfortable forget place holiday inn like row housing development suburb knickerbocker like beautiful old house center city location great hotel bar cozy classy room feel like guest bedroom victorian mansion price simply well downtown chicago,0
swisshotel awesome high class expensive hotel chicago dingy area city long walk navy pier need pay cab note magnificent mile boring live chicago hotel well experience mile navy boring pier,0
husband stay sheraton chicago hotel tower february hotel experience superb location wonderful room overlook river great view lake navy pier good stay sweet sleeper bed comfortable staff friendly helpful bad sheraton stay,0
great location right chicago river away skyscraper hotel room good size clean nice river view overall great staff particular like point christy morgan chief experience officer paula fortney concierge assistance make stay memorable interest disclosure stay amex starwood point,0
love free breakfast dinner weeknight hotel clean nice room pool need kid care friend take granddaughter grandma grandaughter outing hotel perfect,0
wonderful stay staff extremely helpful room especially large fact small kitchen make lot easy breakfast supper excellent way feel comfortable instance away plate room business center gym pool choice time chicago,0
